anno_index,coord_x,coord_y,coord_z,diameter,nodule_chance,diameter_mm
0,0.8795,0.4096,0.3701,0.0266,0.885699987411499,8.837400436401367
1,0.8795,0.4096,0.406,0.0251,0.9140999913215637,8.338800430297852
2,0.6627,0.3012,0.4418,0.0106,0.7903000116348267,3.529400110244751
3,0.6627,0.3373,0.4418,0.0103,0.8101999759674072,3.412899971008301
4,0.1205,0.4096,0.4418,0.0252,0.9628000259399414,-8.358200073242188
5,0.6988,0.6265,0.4418,0.0065,0.7215999960899353,2.153599977493286
6,0.2651,0.7349,0.4776,0.008,0.6852999925613403,2.6702001094818115
7,0.7711,0.4096,0.5134,0.0021,0.7465999722480774,0.7052000164985657
8,0.7711,0.4458,0.5134,0.002,0.7312999963760376,0.6776000261306763
9,0.2651,0.7349,0.5134,0.0078,0.6589000225067139,2.5804998874664307
10,0.2651,0.7711,0.5134,0.0088,0.7129999995231628,2.931999921798706
11,0.7711,0.4096,0.5493,0.0019,0.7073000073432922,0.6320000290870667
12,0.7711,0.4458,0.5493,0.0018,0.6859999895095825,0.6021999716758728
13,0.2651,0.4458,0.6567,0.0494,0.9868000149726868,16.408599853515625
14,0.3012,0.4458,0.6567,0.0527,0.988099992275238,17.504600524902344
15,0.2651,0.4819,0.6567,0.0529,0.9955000281333923,17.559900283813477
16,0.3012,0.4819,0.6567,0.0597,0.9968000054359436,19.809900283813477
17,0.2651,0.4458,0.6925,0.0499,0.9902999997138977,16.552499771118164
18,0.3012,0.4458,0.6925,0.0511,0.9884999990463257,16.977800369262695
19,0.2651,0.4819,0.6925,0.0508,0.9918000102043152,16.859500885009766
20,0.3012,0.4819,0.6925,0.0542,0.992900013923645,17.988300323486328
21,0.4458,0.4096,0.7642,0.0033,0.885699987411499,1.0880999565124512
22,0.4819,0.4096,0.7642,0.0031,0.9391000270843506,1.0405999422073364
23,0.4458,0.4458,0.7642,0.0032,0.9247999787330627,1.0555000305175781
24,0.4819,0.4458,0.7642,0.003,0.9598000049591064,0.9994999766349792
25,0.4458,0.4096,0.8,0.0017,0.6669999957084656,0.5766000151634216
26,0.4819,0.4096,0.8,0.002,0.7218999862670898,0.6582000255584717
27,0.4458,0.4458,0.8,0.0029,0.8472999930381775,0.9532999992370605
28,0.4819,0.4458,0.8,0.0029,0.9200000166893005,0.9779000282287598
